Grade,Math,Social Studies,English,Science,Foreign Language,The Arts,Electives
9,Geometry,World History,World Literature,Biology,Spanish 1,,Exploring World Religions
10,Algebra 2,U.S. History,American Literature,Chemistry,Spanish 2,,Mental Health Management
11,Pre-Calculus,U.S. Government & Politics,The Art of Rhetoric,Physics,Spanish 3,Music,
12,Statistics,"Macroeconomics, Microeconomics",Poetry,Kinesiology,Spanish 4,Studio Art,Personal Finance
